,name,position,company,description,linkedin_url
0,b'Brent Hardaway',b'',b'',"b'Vice President - Population Health Consulting Services at Premier, Inc.'",b'tps://www.linkedin.com/in/brent-hardaway-58a0992b'
1,b'Kristi Henderson',"b'VP, Virtual Care & Innovation'",b'Seton Healthcare Family',"b'VP, Virtual Care & Innovation, Clinical Professor of Population Health at Dell Medical School at UT Austin'",b'tps://www.linkedin.com/in/kristi-henderson-049b4b58'
2,b'Jordan Lopez',b'',b'',b'Achiever | Competition | Command | Leader',b'tps://www.linkedin.com/in/jordan-lopez-37858413a'
3,b'Apryl Haynes',"b'VP, COO'",b'Seton Edgar B. Davis Hospital',"b'VP, COO'",b'tps://www.linkedin.com/in/apryl-haynes-07494847'
4,b'Michael Spears',b'VP of Business Development / Co-Founder',"b'Rapid Radiology, Inc'","b'Executive Vice President at Rapid Radiology, Inc'",b'tps://www.linkedin.com/in/spearsmike'
5,b'Mary Viney',b'',b'',b'Vp Network Services at Seton Family of Hospitals',b'tps://www.linkedin.com/in/mary-viney-106b0316'
6,b'juan garza',b'',b'',b'VP Finance and Development at Central Health Connection',b'tps://www.linkedin.com/in/juan-garza-37698b61'
7,b'Bill Pastore',b'Senior VP',b'UnitedHealth Group',b'President at Health Leadership Strategies LLC',b'tps://www.linkedin.com/in/bill-pastore-1024366'
8,b'Dennis Jakubowicz',b'',b'',b'VP of Sales & Marketing at iN2L where we empower lives through technology.',b'tps://www.linkedin.com/in/dennis-jakubowicz-6902856'
9,b'Mitchell Morris',b'',b'',"b'Executive Vice President, OptumInsight'",b'tps://www.linkedin.com/in/mitchell-morris-a2b3781'
10,b'Brent Hardaway',b'',b'',"b'Vice President - Population Health Consulting Services at Premier, Inc.'",b'tps://www.linkedin.com/in/brent-hardaway-58a0992b'
11,b'Kristi Henderson',"b'VP, Virtual Care & Innovation'",b'Seton Healthcare Family',"b'VP, Virtual Care & Innovation, Clinical Professor of Population Health at Dell Medical School at UT Austin'",b'tps://www.linkedin.com/in/kristi-henderson-049b4b58'
12,b'Jordan Lopez',b'',b'',b'Achiever | Competition | Command | Leader',b'tps://www.linkedin.com/in/jordan-lopez-37858413a'
13,b'Apryl Haynes',"b'VP, COO'",b'Seton Edgar B. Davis Hospital',"b'VP, COO'",b'tps://www.linkedin.com/in/apryl-haynes-07494847'
14,b'Michael Spears',b'VP of Business Development / Co-Founder',"b'Rapid Radiology, Inc'","b'Executive Vice President at Rapid Radiology, Inc'",b'tps://www.linkedin.com/in/spearsmike'
15,b'Mary Viney',b'',b'',b'Vp Network Services at Seton Family of Hospitals',b'tps://www.linkedin.com/in/mary-viney-106b0316'
16,b'juan garza',b'',b'',b'VP Finance and Development at Central Health Connection',b'tps://www.linkedin.com/in/juan-garza-37698b61'
17,b'Bill Pastore',b'Senior VP',b'UnitedHealth Group',b'President at Health Leadership Strategies LLC',b'tps://www.linkedin.com/in/bill-pastore-1024366'
18,b'Dennis Jakubowicz',b'',b'',b'VP of Sales & Marketing at iN2L where we empower lives through technology.',b'tps://www.linkedin.com/in/dennis-jakubowicz-6902856'
19,b'Mitchell Morris',b'',b'',"b'Executive Vice President, OptumInsight'",b'tps://www.linkedin.com/in/mitchell-morris-a2b3781'
20,"b'Jeremy Riddle, LPC-S, ATR-BC'",b'',b'',b'Vice President of Clinical Operations at Cenpatico',b'tps://www.linkedin.com/in/jeremy-riddle-lpc-s-atr-bc-6a975b98'
21,b'Drew Morton',b'',b'',b'Senior Vice President & Chief Human Resources Officer at Hanger',b'tps://www.linkedin.com/in/drewmorton'
22,b'Debbie Jefferson',b'',b'',"b'Senior Vice President, Revenue Cycle Services'",b'tps://www.linkedin.com/in/debbie-jefferson-8b67b89'
23,b'Blair Wagoner',b'',b'',b'Vice President of Sales',b'tps://www.linkedin.com/in/blairwagoner'
24,b'Lee Hughes',b'',b'',b'Executive Vice President at NewLight Healthcare',b'tps://www.linkedin.com/in/lee-hughes-45b70410'
25,b'Bill Linder',b'',b'',b'Vice President of Operations at Surgical Care Affiliates',b'tps://www.linkedin.com/in/bill-linder-99867a'
26,b'Raymond Anderson',b'',b'',b'Senior Vice President and Chief Strategy Officer at Seton Healthcare Family',b'tps://www.linkedin.com/in/raymond-anderson-85348576'
