,name,position,company,description,linkedin_url
0,b'Brenda Jackson',b'',b'',b'Vice President at Trinity Hospital',b'tps://www.linkedin.com/in/brenda-jackson-8356263'
1,b'Shanawaz M Khan MBA',b'GM Life Science | GM Scientific Imaging | VP Sales Marketing Healthcare | VP Marketing Imaging |',b'General Manager Driving Growth and Innovation through Sales and Marketing',b'GM | General Manager | Vice President Sales Marketing | VP Sales Marketing Healthcare | VP Marketing Laboratory Research',b'tps://www.linkedin.com/in/shanawazmkhan'
2,b'Barbara Anason',b'VP and Chief Marketing Officer',b'UHC',"b'VP, KM & Mktg Services at UHC'",b'tps://www.linkedin.com/in/barbara-anason-16636a9'
3,b'Patty Nedved',"b'Interim Chief Nursing Officer, VP Clinical Nursing'",b'Rush University Medical Center',b'Associate Vice President Professional Practice at Rush University Medical Center',b'tps://www.linkedin.com/in/patty-nedved-b208938'
4,b'Bradley Hinrichs',b'',b'',"b'Vice President-Hospital Operations, Administrative VP-Transformation at Rush University Medical Center'",b'tps://www.linkedin.com/in/bradley-hinrichs-01760613'
5,b'LinkedIn Member',b'VP ACL Illinois Operations',b'Advocate Health Care',b'',b''
6,b'Rob Utter',b'Exec. VP/COO',b'The Blackhawk Statement Group',b'Exec. Vice President/COO at Blackhawk Consulting',b'tps://www.linkedin.com/in/rob-utter-6865505'
7,b'David Trace',b'VP Medical Affairs',b'Mckesson',b'Vice President Medical Affairs at McKesson Provider Technologies',b'tps://www.linkedin.com/in/david-trace-9b6a8bb'
8,b'Peg Stone',b'VP Physician Compensation & Contracting',b'Advocate Medical Group',b'Vice President Professional Arrangements at Advocate Health Care',b'tps://www.linkedin.com/in/peg-stone-49b5811'
9,b'Brian Noviskis',b'Vice President Human Resources (VP HR) | Chief HR Officer (CHRO) | Senior HR Business Partner',b'In Transition',b'Vice President Human Resources (VP HR) | Chief HR Officer (CHRO) | Strategic HR Business Partner',b'tps://www.linkedin.com/in/brian-noviskis'
10,b'LinkedIn Member',b'',b'',b'',b''
11,b'Nathan Amoruso',b'VP Revenue Cycle',b'Accretive Health',"b'Senior Vice President, Revenue Cycle'",b'tps://www.linkedin.com/in/nathan-amoruso-bb8a7a6'
12,b'Devin McKeever',b'AMG VP of Shared and Support Operations',b'Advocate Health Care',b'Vice President - System Business Development and Outpatient Operations at Advocate Health Care',b'tps://www.linkedin.com/in/devin-mckeever-ab1b336'
13,b'Neenah Powell',b'',b'',"b'VP Operations at A-Z Alliance, Inc.'",b'tps://www.linkedin.com/in/neenahpowell'
14,b'Karen Paradiso',b'',b'',"b'VP US Client Integration at CellTrak Technologies, Inc.'",b'tps://www.linkedin.com/in/karen-paradiso-8290105'
15,b'Susan Okuno-Jones',b'VP Nursing Practice and Innovation',b'Advocate Health Care',"b'Vice President, Operations, Patient Care Svcs, Chief Nurse Executive at Advocate Good Samaritan Hospital'",b'tps://www.linkedin.com/in/susan-okuno-jones-83432b6b'
16,b'LinkedIn Member',b'VP Intl Marketing and Sales',b'Baxter',b'',b''
17,b'Bob Fogel',b'VP Business Development',b'CID Resources',b'Senior VP-Business Development CID Resources',b'tps://www.linkedin.com/in/bob-fogel-69954b27'
18,"b""Patricia Steeves O'Neil""","b'Asst VP, Chief Investment Officer & Treasurer'",b'Rush University Medical Center',"b'VP, Treasurer, Rush University Medical Center'",b'tps://www.linkedin.com/in/patricia-steeves-o-neil-99a7959'
19,b'Pamala Smith',b'VP Operations',b'Advocate Medical Group',b'Vice President Nursing/CNE at Advocate Medical Group',b'tps://www.linkedin.com/in/pamala-smith-67558214'
20,b'Kathleen Gunderson',"b'VP, Network Ancillary Services'",b'Alexian Brothers Health System',"b'VP, Network Ancillary Services at AMITA Health System'",b'tps://www.linkedin.com/in/kathleen-gunderson-1057b95'
21,b'Marco Capicchioni',b'VP of Facility Design and Construction',b'The University of Chicago',"b'VP of Facility Planning, Design and Construction at The University of Chicago Medicine'",b'tps://www.linkedin.com/in/marco-capicchioni-a7609562'
22,b'Ron Davis',b'VP Business Development',b'MD Preferred Services',b'Ron Davis SR VP Business Development at US Medical Specialties',b'tps://www.linkedin.com/in/rondavismdp'
23,b'Jayne Resek',b'',b'',"b'Vice President, Consulting'",b'tps://www.linkedin.com/in/jayne-resek-37661411'
24,b'Robert Gelb',b'',b'',b'Managing Vice President - York Risk Services Group',b'tps://www.linkedin.com/in/robert-gelb-0523603'
25,b'Emmet Goldberg',b'',b'',"b'Vice President, Business Development at Vizient, Inc'",b'tps://www.linkedin.com/in/emmet-goldberg-2954b85'
26,"b'Carlos Vasquez, FACHE'",b'',b'',"b'Vice President, Chief Operating Officer'",b'tps://www.linkedin.com/in/carlos-vasquez-fache-aa4780a'
27,"b'Thomas Kelley, J.D., M.B.A.'",b'',b'',b'Vice President and Chief Financial Officer at United Hospital System',b'tps://www.linkedin.com/in/thomas-kelley-j-d-m-b-a-a81bb17'
28,b'Shafiq Rab',b'',b'',b'Senior Vice President and CIO at Rush University Medical Center',b'tps://www.linkedin.com/in/shafiqrab'
29,"b'Robin Czajka, CARN BC CMRP'",b'',b'',"b'Service Line Vice President, Premier, inc. and SymmedRx'",b'tps://www.linkedin.com/in/robinczajka'
30,b'Arnie Kimmel',b'Senior VP for Corporate Services',"b'Franciscan Alliance, Inc.'",b'CEO at Franciscan St James Health',b'tps://www.linkedin.com/in/arnie-kimmel-39038a4'
31,"b'Cindy Welsh RN, MBA, FACHE'",b'',b'',"b'Vice President, Adult Critical Care and Medical Professional Affairs at Advocate Health Care'",b'tps://www.linkedin.com/in/cindy-welsh-rn-mba-fache-96536714'
32,b'Jaime Parent',b'',b'',"b'Associate CIO, VP IT Operations, Rush University Medical Center & Assistant Professor, Rush University'",b'tps://www.linkedin.com/in/jaimeparent'
33,b'Niel Veirup',b'',b'',b'Vice President at PatientMatters',b'tps://www.linkedin.com/in/niel-veirup-04795111'
34,b'Bob Glover',b'',b'',b'Vice President at Cardinal Health',b'tps://www.linkedin.com/in/bob-glover-7805027'
35,b'Ryan Siemers',b'',b'',b'Vice President at Premier Inc.',b'tps://www.linkedin.com/in/ryan-siemers-1a51205'
36,"b'Ronald Hirsch, MD, FACP, CHCQM'",b'',b'',b'Vice President at R1',b'tps://www.linkedin.com/in/ronald-hirsch-md-facp-chcqm-92155322'
37,b'Eric Alvarez',b'',b'',b'Vice President',b'tps://www.linkedin.com/in/eric-alvarez-4b40a416'
38,b'Brian Carey',b'',b'',b'Vice President at Express Scripts',b'tps://www.linkedin.com/in/brcarey'
39,b'Andy Perl',b'',b'',b'Vice President at Synapse PDI',b'tps://www.linkedin.com/in/andy-perl-49ba1278'
40,b'Susan Campbell',b'',b'',b'Vice President at Kaufman Hall',b'tps://www.linkedin.com/in/susan-campbell-28148b'
41,b'Karl Karlsson',b'',b'',b'Vice President at Sg2',b'tps://www.linkedin.com/in/karlkarlsson'
42,b'Lisa Simovic',b'',b'',b'Vice President at Sg2',b'tps://www.linkedin.com/in/lisa-simovic-311a628'
43,b'Michelle Piel',b'',b'',"b'Vice President, PerfectServe Inc.'",b'tps://www.linkedin.com/in/michelle-piel-11b2a814'
44,"b'Jeff Parker, MA'",b'',b'',b'Vice President at Furst Group',b'tps://www.linkedin.com/in/jeff-parker-ma-04497232'
45,b'Jeremy Goldberg',b'',b'',b'Corporate Vice President',b'tps://www.linkedin.com/in/jeremy-goldberg-15387611'
46,b'Bryan Cali',b'',b'',b'Vice President at Kaufman Hall',b'tps://www.linkedin.com/in/bryan-cali-436a744'
47,"b'Trish Wegner, B.S. Pharm., Pharm.D., FASHP'",b'',b'',b'Vice President at ICHP',b'tps://www.linkedin.com/in/trish-wegner-b-s-pharm-pharm-d-fashp-7926897'
48,b'Gordy Sofyanos',b'',b'',b'Vice President at Kaufman Hall',b'tps://www.linkedin.com/in/gordy-sofyanos-87926b3'
49,b'Alysha Fluno',b'',b'',b'Vice President at Aon Hewitt',b'tps://www.linkedin.com/in/alysha-fluno-58892163'
50,"b""Chad O'Connor""",b'',b'',b'Vice President at Sg2',b'tps://www.linkedin.com/in/chad-o-connor-72aabb4'
51,b'Alexander Wiliams',b'',b'',b'Vice President at Witt Kieffer',b'tps://www.linkedin.com/in/alexander-wiliams-825ab21a'
52,b'Bob Glover',b'',b'',b'Vice President at Cardinal Health',b'tps://www.linkedin.com/in/bob-glover-4a95b3a'
53,b'Ted Pfeiffer',b'',b'',b'Vice President at Sg2',b'tps://www.linkedin.com/in/ted-pfeiffer-7304969'
54,b'Jeff Moser',b'',b'',b'Vice President at Sg2',b'tps://www.linkedin.com/in/jeff-moser-3205b27'
55,b'Mark Muench',b'',b'',b'Vice President at Cerner Corp.',b'tps://www.linkedin.com/in/mark-muench-1a5633'
56,b'LinkedIn Member',b'',b'',b'',b''
57,b'LinkedIn Member',b'',b'',b'',b''
58,b'LinkedIn Member',b'',b'',b'',b''
59,b'Jim Medendorp',b'',b'',b'Vice President Kaufman Hall',b'tps://www.linkedin.com/in/jim-medendorp-9247363'
60,b'Dawn C. LeRoy',b'',b'',b'Vice President at MacNeal Hospital',b'tps://www.linkedin.com/in/dawn-c-leroy-77a18112a'
61,b'Tina Wardrop',b'',b'',b'Vice President at The Camden Group',b'tps://www.linkedin.com/in/tina-wardrop-2a30ab35'
62,b'Sarah Babula Kerndt',b'',b'',b'Vice President Pathways.org',b'tps://www.linkedin.com/in/sarah-babula-kerndt-48471916'
63,b'Leo Miller',b'',b'',b'Vice President at Haymarket Center',b'tps://www.linkedin.com/in/leo-miller-70702312'
64,b'James Gorman',b'',b'',"b'Vice President, OptumInsight'",b'tps://www.linkedin.com/in/james-gorman-11a526'
65,b'LinkedIn Member',b'',b'',b'',b''
66,b'LinkedIn Member',b'',b'',b'',b''
67,b'Joe Bandra',b'',b'',b'Vice President at TRIMARK INTERNATIONAL',b'tps://www.linkedin.com/in/joe-bandra-01761614'
68,b'Richelle Murakami',b'',b'',b'Vice President at KARS Express',b'tps://www.linkedin.com/in/richellemurakami'
69,b'Paula Elliott',b'',b'',b'Vice President at Impact Advisors',b'tps://www.linkedin.com/in/paula-elliott-02808067'
70,b'Ann Weist',b'',b'',b'Vice President at The Nurse Agency',b'tps://www.linkedin.com/in/ann-weist-1a73399'
71,b'LinkedIn Member',b'',b'',b'',b''
72,b'LinkedIn Member',b'',b'',b'',b''
73,b'LinkedIn Member',b'',b'',b'',b''
74,b'LinkedIn Member',b'',b'',b'',b''
75,b'LinkedIn Member',b'',b'',b'',b''
76,b'LinkedIn Member',b'',b'',b'',b''
77,b'LinkedIn Member',b'',b'',b'',b''
78,b'LinkedIn Member',b'',b'',b'',b''
79,b'LinkedIn Member',b'Vice President',b'Private Molecular Diagnostic Company',b'',b''
80,b'LinkedIn Member',b'',b'',b'',b''
81,b'LinkedIn Member',b'',b'',b'',b''
82,b'LinkedIn Member',b'',b'',b'',b''
83,b'LinkedIn Member',b'',b'',b'',b''
84,b'LinkedIn Member',b'',b'',b'',b''
85,b'LinkedIn Member',b'',b'',b'',b''
86,b'LinkedIn Member',b'',b'',b'',b''
87,b'LinkedIn Member',b'',b'',b'',b''
88,b'LinkedIn Member',b'',b'',b'',b''
89,b'LinkedIn Member',b'',b'',b'',b''
90,b'LinkedIn Member',b'',b'',b'',b''
91,b'LinkedIn Member',b'',b'',b'',b''
92,b'LinkedIn Member',b'',b'',b'',b''
93,b'LinkedIn Member',b'',b'',b'',b''
94,b'LinkedIn Member',b'',b'',b'',b''
95,b'LinkedIn Member',b'',b'',b'',b''
96,b'LinkedIn Member',b'',b'',b'',b''
97,b'LinkedIn Member',b'',b'',b'',b''
98,b'LinkedIn Member',b'',b'',b'',b''
99,b'LinkedIn Member',b'',b'',b'',b''
100,b'LinkedIn Member',b'',b'',b'',b''
