,name,position,company,description,linkedin_url
0,"b'Barton Murphy, PMP, CSM'",b'',b'',b'Chief Technology Officer at PriorAuthNow',b'tps://www.linkedin.com/in/bartonmurphy'
1,b'Mike Lanese',b'',b'',"b'Co-Founder/Chief Executive Officer at OnSeen Marketing, Inc.'",b'tps://www.linkedin.com/in/mikelanese'
2,b'Elliot Schneier',b'Chief Operating Officer',b'LaunchRock',b'Chief Operating Officer at Startups.co',b'tps://www.linkedin.com/in/elliotschneier'
3,b'Tina Fisher',b'Founder & Chief Executive',b'Modalist',b'Co-Founder & Chief Executive at Modalist',b'tps://www.linkedin.com/in/tina-fisher-194131'
4,b'Ty Henkaline',b'Chief Analytics Innovator',b'Columbus Collaboratory',b'Chief Analytics Innovator at the Columbus Collaboratory',b'tps://www.linkedin.com/in/tyhenkaline'
5,b'Lev Gonick',b'Chief Executive Officer',b'DigitalC',"b'Chief Executive, DigitalC'",b'tps://www.linkedin.com/in/levgonick'
6,b'Jeff Jacobs',"b'Chief Information Officer (CIO), Global Information Technology'",b'OCLC',b'Chief Information Officer (CIO) at OCLC',b'tps://www.linkedin.com/in/jeff-jacobs-354a943'
7,b'Jeffrey M. Wilkins',b'',b'',"b'Chief Executive Officer at Facilities Management eXpress, LLC.'",b'tps://www.linkedin.com/in/jeffrey-m-wilkins-2b5418'
8,b'Troy Gibson',"b'VP, Chief Enterprise Architect'",b'NetJets',"b'VP, Chief Enterprise Architect at NetJets'",b'tps://www.linkedin.com/in/troy-gibson-b9225a'
9,b'Roger Sears',b'',b'',b'Chief Executive Officer at Hyper IO',b'tps://www.linkedin.com/in/rogersears'
10,b'Rick Ritzler',b'',b'',b'Chief Talent Officer at ICC',b'tps://www.linkedin.com/in/rickritzler'
11,b'Phil Smith',b'',b'',b'Chief Operating Officer at Racksquared Data Centers',b'tps://www.linkedin.com/in/epsmith001'
12,b'Alyce Obee',"b'Relationship Manager, Office of the Chief Information Officer'",b'The Ohio State University',"b'Relationship Manager, Office of the Chief Information Officer at The Ohio State University'",b'tps://www.linkedin.com/in/alycesnyder'
13,b'Bill Gray',b'',b'',b'Chief Product Officer at Northwoods',b'tps://www.linkedin.com/in/williamrgray'
14,b'Drew Domecq',b'',b'',"b'Chief Information Officer at Bob Evans Farms, Inc.'",b'tps://www.linkedin.com/in/drew-domecq-22841a48'
15,b'Trey Hakanson',b'',b'',b'Chief Product Officer at Hatchli',b'tps://www.linkedin.com/in/trey-hakanson-a72985118'
16,b'Bryan Smith',b'',b'',b'Senior Vice President and Chief Strategy Officer at Expedient',b'tps://www.linkedin.com/in/bryankeithsmith'
17,b'Mark Minehart',b'',b'',b'Chief Technology Officer at Heureka Software',b'tps://www.linkedin.com/in/markminehart'
18,"b'Venu Edupuganti , MCSD, CSM'",b'Information Technology Manager | Chief Architect',b'State of Ohio - Department of Developmental Disabilities',b'Chief Technology Officer | Chief Architect',b'tps://www.linkedin.com/in/venuedupuganti'
19,b'Andrew Graf',b'Chief Product Strategist & Co-Founder',b'TeamDynamix',b'Chief Product Strategist & Co-Founder (agraf@teamdynamix.com)',b'tps://www.linkedin.com/in/andrew-graf-29b310'
20,b'Dan Gifford',b'',b'',b'Chief Financial Officer at DASCO Home Medical Equipment',b'tps://www.linkedin.com/in/dan-gifford-02251910'
21,b'Michael DeAloia',b'Chief Executive Officer',b'The Front Porch People',"b'Chief Executive Officer at The Front Porch People/""Tech Czar""'",b'tps://www.linkedin.com/in/techczar'
22,b'Charlie Lougheed',b'Cofounder & President & Chief Strategy Officer',"b'Explorys, An IBM Company'","b'Co-Founder, President & Chief Strategy Officer of Explorys (Now IBM Watson Health)'",b'tps://www.linkedin.com/in/lougheed'
23,"b'Israel Arroyo M.S, CISSP, GPEN, CEH'",b'',b'',"b'Operations Chief - Senior Enlisted Leader at Marine Forces Reserves, U.S. European Command'",b'tps://www.linkedin.com/in/israel-arroyo-m-s-cissp-gpen-ceh-a656b631'
24,b'Jeff Canter',b'',b'',b'Chief Operating Officer at inContact',b'tps://www.linkedin.com/in/jeff-canter-7409444'
25,b'Christopher Carlson',b'Executive Vice President & Chief Operating Officer',b'Northwoods',b'Executive Vice President/Chief Operating Officer',b'tps://www.linkedin.com/in/christophertcarlson'
26,b'Jack W.',b'Chief Executive Officer',b'WINDSOR CONSULTING',"b'Consultant, Strategist, Coach & Chief Executive Officer WINDSOR CONSULTING'",b'tps://www.linkedin.com/in/soldout'
27,b'Mary Kaufmann',b'',b'',b'Chief Learning Officer at Pillar Technology',b'tps://www.linkedin.com/in/mary-kaufmann-305b844'
