,name,position,company,description,linkedin_url
0,b'David Blum',b'Chief Information and Marketing Officer (CIO & CMO)',b'W.W.Williams',b'CIO/CMO driving business growth and transformation through technology and marketing innovation',b'tps://www.linkedin.com/in/david-blum-230a4a23'
1,b'Carl Lewis',b'',b'',b'CIO at Vest',b'tps://www.linkedin.com/in/carl-lewis-b868455'
2,b'Willie Neumann',b'',b'',b'Contract CIO at United Church Homes',b'tps://www.linkedin.com/in/willieneumann'
3,b'Sam Wooster',b'CIO/CTO',b'RDorsey',b'CTO/CIO of RDorsey',b'tps://www.linkedin.com/in/sam-wooster-684b51'
4,b'Kalman Roemer',b'Cloud Architecture and Data Science Intern - Office of the CIO',b'The Ohio State University',b'Aspiring Cloud Architect and Data Scientist',b'tps://www.linkedin.com/in/kalman-roemer'
5,b'George Photakis',b'Senior Vice President and CIO',b'Pacific Coast Feather Company',b'SVP & Chief Information Officer at Hollander Sleep Products',b'tps://www.linkedin.com/in/georgep'
6,b'Michael Teets',b'Contract CIO',b'UHS Ultimate Home Services',"b'Co-Founder at Tekainos, LLC'",b'tps://www.linkedin.com/in/michaelteets'
7,b'Dave Parfrey',b'CIO',"b'Brains for Business, Inc.'","b'Freelance Objective-C, Ruby on Rails Developer'",b'tps://www.linkedin.com/in/daveparfrey'
8,b'Jeff Allen',b'Deputy CIO - Director of Desktop and Support Services',"b'State of Indiana, Indiana Office of Technology'","b'Deputy CIO - Director of Desktop and Support Services, State of Indiana, Indiana Office of Technology'",b'tps://www.linkedin.com/in/jeff-allen-6a9b665'
9,b'Raffaele Mautone',b'',b'',b'CIO at Duo Security',b'tps://www.linkedin.com/in/raffaelemautone'
10,b'Guru Vasudeva',b'',b'',"b'SVP & CIO, Program & Application Services at Nationwide'",b'tps://www.linkedin.com/in/guruvasudeva'
11,b'Bonnie Smith',b'Vice President and Chief Information Officer (VP & CIO)',b'Lear Corporation',b'Vice President and Chief Information Officer (VP & CIO) at Lear',b'tps://www.linkedin.com/in/bonnie-smith-448b9b64'
12,b'Ashlee Aldridge',"b'SVP, CIO'",b'DSW Inc.',"b'SVP, CIO, DSW Inc.'",b'tps://www.linkedin.com/in/ashlee-aldridge-32181b4'
13,b'Mike Onders',b'EVP Chief Data Officer and Division CIO Client Insights and Marketing',b'KeyBank',b'EVP Chief Data Officer and Division CIO Client Insights and Marketing',b'tps://www.linkedin.com/in/monders'
14,b'Susan Kampe',b'',b'',b'CIO at Cooper Standard',b'tps://www.linkedin.com/in/susankampe'
15,b'Steven Ambrose',b'',b'',b'VP and CIO at DTE Energy',b'tps://www.linkedin.com/in/stevenambrose1'
16,b'Dan Pavlick',"b'Executive Vice President, CIO Corporate and Institutional Banking'",b'PNC',"b'Executive Vice President, CIO Corporate and Institutional Banking'",b'tps://www.linkedin.com/in/dan-pavlick-a38ba31'
17,b'Jamie Lee',"b'CIO, VP'",b'Wabash National',"b'CIO, VP of IT for Wabash National Corporation'",b'tps://www.linkedin.com/in/jamie-lee-6a9825'
18,b'Jeff Jacobs',"b'Chief Information Officer (CIO), Global Information Technology'",b'OCLC',b'Chief Information Officer (CIO) at OCLC',b'tps://www.linkedin.com/in/jeff-jacobs-354a943'
19,b'Nathalie Haddad',b'CIO - Global Business partner Sanofi-Genzyme',b'Sanofi',b'CIO - Sanofi Genzyme',b'tps://www.linkedin.com/in/nathalie-haddad-00237b'
20,b'Raj Singh',b'',b'',b'EVP & CIO at FordDirect',b'tps://www.linkedin.com/in/raj-singh-b3a09a2'
21,b'Jeff Semonovich',b'',b'',b'CIO - Corporate Bank at KeyBank',b'tps://www.linkedin.com/in/jeffsemonovich'
22,b'Mark Miko',b'',b'',b'Chief Information Officer (CIO) at Duquesne Light Company',b'tps://www.linkedin.com/in/mark-miko-bba2133'
23,b'Jay Stanley',b'Vice President Information Technology and CIO',b'Marsh Supermarkets',b'Vice President IT and CIO at Marsh Supermarkets',b'tps://www.linkedin.com/in/jaycstanley'
24,b'Brian Kelley',b'CIO',b'Portage County',"b'CIO, Adjunct Professor, Speaker'",b'tps://www.linkedin.com/in/briankelley'
25,b'Michael Rowe',b'',b'',b'SVP & CIO at TravelCenters of America',b'tps://www.linkedin.com/in/michaelarowe'
26,b'Gary Desai',b'Senior Vice President and CIO',b'IEH Autoplus and Pep Boys',b'Senior Vice President and CIO at IEH Autoplus',b'tps://www.linkedin.com/in/garydesai'
27,b'Rob Minicozzi',b'',b'',b'VP and Global CIO at WESCO Distribution',b'tps://www.linkedin.com/in/robminicozzi'
28,b'Barb Dawson',b'CIO',b'TEK View Consulting',b'CIO / VP / SVP / Technology Executive / Digital Business Transformation',b'tps://www.linkedin.com/in/barbdawson1'
29,b'LinkedIn Member',b'',b'',b'',b''
30,b'John Fleischer',b'',b'',b'Senior Vice President & CIO at CBIZ',b'tps://www.linkedin.com/in/johnfleischer'
31,b'Brian Gray',b'',b'',"b'SVP & CIO at Baldwin & Lyons, Inc.'",b'tps://www.linkedin.com/in/brian-gray-a353372'
