,name,position,company,description,linkedin_url
0,b'Darren Dworkin',b'',b'',b'Chief Information Officer at Cedars-Sinai',b'tps://www.linkedin.com/in/darrendworkin'
1,"b'Angie Torres RN, MSN, MHA,'",b'Chief Clinical Officer',b'Kindred Healthcare',"b'Chief Clinical Officer, Kindred Healthcare'",b'tps://www.linkedin.com/in/angie-torres-rn-msn-mha-6b530ba1'
2,"b'David Rhew, M.D.'",b'',b'',b'Chief Medical Officer and Head of Healthcare and Fitness at Samsung Electronics America',b'tps://www.linkedin.com/in/david-rhew-m-d-1832764'
3,b'Paul Del Vacchio',b'Founder/Co-Owner/Chief Executive Officer',b'California Highlands Addiction Treatment',b'Chief Executive Officer at California Highlands Addiction Treatment',b'tps://www.linkedin.com/in/paul-del-vacchio-77a50aa'
4,b'Bill Gorenstein',b'Senior Vice President and Chief Financial Officer National Hospital Segment',"b'Prospect Medical Holdings, Inc. (National Hospital Segment)'",b'Senior Vice President and Chief Financial Officer National Hospital Segment',b'tps://www.linkedin.com/in/billgorenstein'
5,b'Veeral Desai',"b'Chief Operating Officer, Vantage Cancer Care Network'",b'McKesson',"b'Chief Operating Officer, Vantage Cancer Care Network (McKesson Corporation)'",b'tps://www.linkedin.com/in/veeraldesai'
6,"b'Mohammed Mahbouba, MD, MS'",b'',b'',b'Chief Data Officer at UCLA Health System',b'tps://www.linkedin.com/in/drmohammedmahbouba'
7,b'Dr. Stephen Grinstead',b'Co-Founder And Chief Clinical Officer',b'A Healing Place - The Estates',"b'Co-Founder Chief Clinical Officer of A Healing Place - The Estates in Camarillo, CA'",b'tps://www.linkedin.com/in/drstephengrinstead'
8,"b'Stephen Odom, Ph.D.'",b'CEO & Chief Clinical Officer',b'New Vista Behavioral Health',b'Chief Executive Officer at New Vista Behavioral Health',b'tps://www.linkedin.com/in/stephen-odom-ph-d-733517a'
9,b'Deb Hughes',b'Chief Executive Officer',b'Breathe Life Healing Center',b'Chief Executive Officer Breathe Life Healing Center',b'tps://www.linkedin.com/in/deb-hughes-2b156616'
10,b'Darren Dworkin',b'',b'',b'Chief Information Officer at Cedars-Sinai',b'tps://www.linkedin.com/in/darrendworkin'
