,name,position,company,description,linkedin_url
0,b'Peter Bacon',b'Chief Business Development Officer-ProHealth Care/Chief Administrative Officer-ProHealth Solutions',b'ProHealth Care',b'Chief Business Development Officer at ProHealth Care',b'https://www.linkedin.com/in/peter-bacon-386b699/'
1,b'Lisa A. Thomson',b'',b'',b'Chief Marketing and Strategy Officer at Pathway Health Services',b'https://www.linkedin.com/in/lisathomson/'
2,b'Andres Gonzalez',b'',b'',"b'Vice President, Chief Diversity Officer at Froedtert & Medical College of Wisconsin'",b'https://www.linkedin.com/in/andresgonzalez427/'
3,b'Daphne E. Jones',b'Senior Executive and Chief Information Officer - GE Healthcare Global Services',b'General Electric',"b'GE Healthcare Senior Vice President and Chief Information Officer - Engineering, Products and Global Franchises'",b'https://www.linkedin.com/in/daphne-e-jones-4392bb10/'
4,b'John Realini',b'Chief Information Officer',b'Primex Family of Companies',"b'Chief Information Officer | CIO | CTO | VP Information Technology | Strategy, Execution, & Transformation'",b'https://www.linkedin.com/in/johnrealini/'
5,b'Dee McCarthy',b'Chief Clinical Officer',b'North Shore Healthcare',b'Chief Clinical Officer at Northshore Healthcare',b'https://www.linkedin.com/in/dee-mccarthy-2590963a/'
6,"b'Leonard Egede, MD, MS'","b'Chief, Division of General Internal Medicine'",b'Medical College of Wisconsin',"b'Chief, Division of General Internal Medicine; Professor & Eminent Scholar, Medical College of Wisconsin'",b'https://www.linkedin.com/in/leonardegede/'
7,b'Michelle Putz',b'Chief Operating Officer',b'Jewish Home and Care Center',b'Chief Operating Officer at Ovation Communities',b'https://www.linkedin.com/in/michelle-putz-918811aa/'
8,b'Rachel Conard',b'',b'',b'Chief Talent Officer at 1st St. NW Inc.',b'https://www.linkedin.com/in/rachelconardcto/'
9,b'Nick Turkal',b'',b'',b'President and Chief Executive Officer at Aurora Health Care',b'https://www.linkedin.com/in/nickturkalmd/'
10,b'Mark Phillips',"b'Chief Marketing and Commercial Officer, Imaging'",b'GE Healthcare',"b'Chief Marketing and Commercial Officer, Imaging'",b'https://www.linkedin.com/in/markalanphillips/'
11,b'Hsieng Su',b'Chief Medical Officer',"b""Aurora St. Luke's Medical Center""","b""Chief Medical Officer at Aurora St Luke's Medical Center""",b'https://www.linkedin.com/in/hsieng-su-607863a8/'
12,b'Tom McCormick',b'Chief Commerical Officer Sutherland Healthcare Soultions Sr. Vice President Healthcare',b'Sutherland Global Services',b'Chief Commercial Officer Sutherland Healthcare Solutions Sr. Vice President Healthcare at Sutherland Global Services',b'https://www.linkedin.com/in/tom-mccormick-4345016/'
13,b'Eric Rhodes',b'Chief Operating Officer',"b""Columbia St. Mary's""","b""Chief Operating Officer at Ascension Columbia St. Mary's Hospital, Milwaukee WI""",b'https://www.linkedin.com/in/eric-rhodes-717a769/'
14,b'Kingston MaryBeth',b'',b'',b'Executive Vice President and Chief Nurse Executive at Aurora Health Care',b'https://www.linkedin.com/in/kingston-marybeth-a873755b/'
15,b'Wayne Frangesch',b'Chief Human Resources Officer',b'UW Health',"b'Chief Human Resources Officer at the UW Health headquartered in Madison, Wisconsin'",b'https://www.linkedin.com/in/wayne-frangesch-b31b623/'
16,b'Eric Humphrey',b'',b'',b'Senior Vice President Human Resources / Chief Human Resources Officer at Froedtert Health',b'https://www.linkedin.com/in/eric-humphrey-1a80689/'
17,b'Scott Hardin',b'',b'',b'Chief Medical Officer for Clinical Integration at Aurora Health Care',b'https://www.linkedin.com/in/scott-hardin-31260112/'
18,b'Philip Kubow',b'Chief Human Resources Officer',b'ProHealth Care',b'Chief Human Resources Officer',b'https://www.linkedin.com/in/philip-kubow-07640512/'
19,b'Ronald J.(Ron) Farr',b'Chief Financial and Chief Adminisrtative Officer',b'ProHealth Care',b'Chief Financial Officer at ProHealth Care',b'https://www.linkedin.com/in/ronald-j-ron-farr-0a131b15/'
20,b'LinkedIn Member',b'Chief Technology Officer',b'Froedtert Health',b'',b''
21,b'Rick Anderson',b'Chief Executive Officer',b'Smart Choice MRI',"b'Chairman and Chief Executive Officer, Smart Choice MRI'",b'https://www.linkedin.com/in/andersonrick1/'
