,name,position,company,description,linkedin_url
0,b'Umar Farooq',b'Vice President - MHS Health',b'Centene Corporation',"b'Vice President, Centene Corporation / MHS Health'",b'https://www.linkedin.com/in/umar-farooq-69ab618/'
1,b'Andres Gonzalez',b'',b'',"b'Vice President, Chief Diversity Officer at Froedtert & Medical College of Wisconsin'",b'https://www.linkedin.com/in/andresgonzalez427/'
2,"b'Catherine (Cathy) Ptak, MS RHIA'",b'',b'',"b'Vice President, Revenue Cycle, Coding & Health Information Services at Aurora Health Care'",b'https://www.linkedin.com/in/catherine-cathy-ptak-ms-rhia-60bb2193/'
3,b'Kelly Rakowski',b'',b'',"b'Vice President, Advisory Services at Premier Inc.'",b'https://www.linkedin.com/in/kelly-rakowski-4460a64/'
4,b'David Hammonds',b'',b'',b'Senior Vice President at Brookdale Senior Living',b'https://www.linkedin.com/in/david-hammonds-142276b2/'
5,b'Lisa Jentsch',b'',b'',"b""Vice President at Children's Hospital of Wisconsin""",b'https://www.linkedin.com/in/lisa-jentsch-620533b0/'
6,b'Naomi Dolohanty',b'',b'',"b'Senior Vice President, Talent Acquisition at Aurora Health Care'",b'https://www.linkedin.com/in/naomi-dolohanty-9b5b587/'
7,b'Thomas Ewing',b'',b'',b'Senior Vice President - Controller at Aurora Health Care',b'https://www.linkedin.com/in/thomas-ewing/'
8,b'Jim Simaras',b'',b'',"b""Vice President of Finance at Children's Hospital of Wisconsin""",b'https://www.linkedin.com/in/jim-simaras-01781097/'
9,"b'Amin Kassam, MD'","b'Vice President of Neurosciences System Clinical Program and Chair, Department of Neurosurgery'",b'Aurora Health Care',"b'Vice President, Aurora Neurosciences, Chairman, Department of Neurological Surgery'",b'https://www.linkedin.com/in/amin-kassam-md-a5198219/'
