,name,position,company,description,linkedin_url
0,b'Sam Wooster',b'CIO/CTO',b'RDorsey',b'CTO/CIO of RDorsey',b'tps://www.linkedin.com/in/sam-wooster-684b51'
1,b'David Blum',b'Chief Information and Marketing Officer (CIO & CMO)',b'W.W.Williams',b'CIO/CMO driving business growth and transformation through technology and marketing innovation',b'tps://www.linkedin.com/in/david-blum-230a4a23'
2,b'Carl Lewis',b'',b'',b'CIO at Vest',b'tps://www.linkedin.com/in/carl-lewis-b868455'
3,b'Branndon Kelley',b'Chief Information Officer (CIO)',"b'American Municipal Power, Inc.'",b'Chief Information Officer (CIO) & Executive Management at American Municipal Power | 2012 Utility CIO of the Year.',b'tps://www.linkedin.com/in/branndon'
4,b'Brian Shea',b'',b'',"b'Chief Information Officer (CIO), Chief Compliance Officer (CCO) at MBX Medical Billing Experts, LLC'",b'tps://www.linkedin.com/in/brian-shea-ab6b693'
5,b'Willie Neumann',b'',b'',b'Contract CIO at United Church Homes',b'tps://www.linkedin.com/in/willieneumann'
6,"b'Ed Romito, CHCIO'",b'CIO',b'Genesis Healthcare System',b'CIO Genesis HealthCare System',b'tps://www.linkedin.com/in/edromito'
7,b'Cindy Sheets',b'Experienced Healthcare Executive and CIO',b'Central Ohio area',b'Executive Consultant and CIO',b'tps://www.linkedin.com/in/cindysheets1'
8,b'Tony Jerig',b'',b'',b'CIO at e-Cycle LLC',b'tps://www.linkedin.com/in/tony-jerig-5596711'
9,b'Mark Walker',b'State of Ohio Technology Board',b'Business and Industry Line of Business Lead',b'Deputy Director of IT/CIO at Ohio Department of Taxation',b'tps://www.linkedin.com/in/mark-walker-54a65336'
10,b'Dean Riviera',"b'CIO, VP'",b'The Robert Allen Duralee Group',"b'CIO, CTO, CEO, Organizational Change Agent, Consultant, Cloud Solutions, eCommerce, M&A, Digital/People Transformation'",b'tps://www.linkedin.com/in/dean-riviera-3b54115'
11,b'Jon Cook',b'',b'',b'CIO at Ohio House of Representatives',b'tps://www.linkedin.com/in/jon-cook-aa675b25'
12,b'Jim Null',b'',b'',b'Associate Athletic Director / CIO - Athletics and Business Advancement at The Ohio State University',b'tps://www.linkedin.com/in/jim-null-aaa8b25'
13,b'Vijay Gopal',"b'Senior Vice President, CIO Shared Services'",b'Magellan Health',"b'SVP, CIO Shared Services at Magellan Health'",b'tps://www.linkedin.com/in/vjgopal'
14,b'Brian Kelley',b'CIO',b'Portage County',"b'CIO, Adjunct Professor, Speaker'",b'tps://www.linkedin.com/in/briankelley'
15,b'Peter Quinn',b'CIO New York City Department of Education',b'New York City Department of Education',b'CIO Financial Healthcare Government Education',b'tps://www.linkedin.com/in/wrpjq'
16,b'Fred Franks',b'',b'',b'CIO at FIT Technologies',b'tps://www.linkedin.com/in/fredfranks'
17,b'Robert Beverick',b'CIO / CTO',b'Hometown Urgent Care and Occupational Health',b'CIO / CTO \xe2\x99\xa6 Hands-on IT Executive \xe2\x99\xa6 Strategic Planner \xe2\x99\xa6 Team Builder \xe2\x99\xa6 Mentor \xe2\x99\xa6 VP IT Operations Leader',b'tps://www.linkedin.com/in/robertbeverick'
18,b'Edward Carr',b'',b'',b'CIO at Public Utilities Commission of Ohio',b'tps://www.linkedin.com/in/edward-carr-a45037142'
19,b'George Photakis',b'Senior Vice President and CIO',b'Pacific Coast Feather Company',b'SVP & Chief Information Officer at Hollander Sleep Products',b'tps://www.linkedin.com/in/georgep'
20,b'Mike Onders',b'EVP Chief Data Officer and Division CIO Client Insights and Marketing',b'KeyBank',b'EVP Chief Data Officer and Division CIO Client Insights and Marketing',b'tps://www.linkedin.com/in/monders'
21,b'Peter Cavanaugh',b'',b'',b'CIO at JEGS High Performance',b'tps://www.linkedin.com/in/peter-cavanaugh-a7307530'
22,b'Steve Belongia',b'Director of IT & CIO',b'Affinity Apparel',b'CIO - VP of IT at Affinity Apparel',b'tps://www.linkedin.com/in/steve-belongia-5807268'
