,name,position,company,description,linkedin_url
0,b'Kevin McCartney',b'',b'',b'CTO at BYBE Inc.',b'tps://www.linkedin.com/in/kevinmccartney2'
1,b'Christopher Judd',b'',b'',b'Chief Technical Officer (CTO)/Partner at Manifest Solutions',b'tps://www.linkedin.com/in/christophermjudd'
2,b'Roy Slagle',b'CTO',b'Taivara | Innovation Consulting | New Product Development & Commercialization at Taivara',b'CTO at Taivara',b'tps://www.linkedin.com/in/roy-slagle-1a46906'
3,b'Larry Scott',b'Co-Founder and CTO',b'ScriptDrop',"b'Co-Founder and CTO, ScriptDrop'",b'tps://www.linkedin.com/in/lscott3'
4,b'Matt Grover',b'CTO',b'clarivoy',b'CTO at Clarivoy',b'tps://www.linkedin.com/in/mdgrover'
5,b'Mike Bender',b'Co-founder/CTO',"b'Mobibooth, LLC'","b""Entrepreneur, Co-founder/CTO Mobibooth, Founder It's A Photo Booth, LLC""",b'tps://www.linkedin.com/in/mikebenderoh'
6,b'Nicholas Tietz-Sokolsky',b'Co-founder and CTO',b'DACA Time',b'Entrepreneur and software consultant',b'tps://www.linkedin.com/in/nicholastietz'
7,b'Gregory Svitak',b'CTO',b'Complion',b'CTO at Complion | Started Idea Innovations',b'tps://www.linkedin.com/in/gsvitak'
8,b'Dan Manges',b'Cofounder & CTO',b'Root',"b'Assembling a team of exceptional engineers in Columbus to build Root. Formerly, founding CTO of Braintree.'",b'tps://www.linkedin.com/in/dmanges'
9,b'Raja Krishnamurthy',b'',b'',"b'CTO, Application Development at Ventech Solutions Inc.'",b'tps://www.linkedin.com/in/raja-krishnamurthy-50052010'
10,b'Kevin McCartney',b'',b'',b'CTO at BYBE Inc.',b'tps://www.linkedin.com/in/kevinmccartney2'
11,b'Shawn Fultz',b'CTO',"b'Mace Innovations, LLC'",b'CTO at Mace Innovations',b'tps://www.linkedin.com/in/shawnfultz'
12,b'Raja Krishnamurthy',b'',b'',"b'CTO, Application Development at Ventech Solutions Inc.'",b'tps://www.linkedin.com/in/raja-krishnamurthy-50052010'
13,b'Nathan Poeppelman',b'CTO',b'Acehopper',"b'CTO at Acehopper, Inc'",b'tps://www.linkedin.com/in/nathanpoeppelman'
14,b'Mike Bender',b'Co-founder/CTO',"b'Mobibooth, LLC'","b""Entrepreneur, Co-founder/CTO Mobibooth, Founder It's A Photo Booth, LLC""",b'tps://www.linkedin.com/in/mikebenderoh'
15,b'Andy Forsyth',b'CTO & Co-Founder',b'Public Insight Corporation',b'CTO & Co-Founder at Public Insight Corp.',b'tps://www.linkedin.com/in/andyforsyth'
16,b'Ryan Krass',b'CTO',b'WOW!brands',"b'CTO - PHP, iPhone/Android App, Drupal, Joomla, Magento, Wordpress Development'",b'tps://www.linkedin.com/in/ryankrass'
17,b'Paul Timmerman',b'CTO and SVP of Technology',b'AdvizeX Technologies',b'CTO and SVP of Technology',b'tps://www.linkedin.com/in/paul-timmerman-9557093'
18,b'Adam Hutcheson',b'CTO',b'Kalibrate',"b'CTO/CIO, Product Leader, Angel Investor'",b'tps://www.linkedin.com/in/adam-hutcheson-2414a23'
19,b'John Chmura',b'',b'',b'CTO & Chief Data Scientist at Chmura Economics & Analytics',b'tps://www.linkedin.com/in/jchmura'
20,b'Benjamin Montello',b'',b'',b'CTO at Ninety10',b'tps://www.linkedin.com/in/benjamin-montello-90618262'
21,b'Keith Shafer',b'',b'',"b'CTO Americas Eagle Team, IT Economics Practice at IBM'",b'tps://www.linkedin.com/in/keith-shafer-5356783'
22,b'Ray Trask',"b'Co-founder, Creative Problem Solver, CTO'",b'FunnWare Development',b'Co-Founder/New Product Development/Technical Director',b'tps://www.linkedin.com/in/raytrask'
23,b'Dan Dykes',b'CTO',b'Beam Dental',b'CTO of Beam Technologies',b'tps://www.linkedin.com/in/dan-dykes-042a351b'
24,b'Robert Beverick',b'CIO / CTO',b'Hometown Urgent Care and Occupational Health',b'CIO / CTO \xe2\x99\xa6 Hands-on IT Executive \xe2\x99\xa6 Strategic Planner \xe2\x99\xa6 Team Builder \xe2\x99\xa6 Mentor \xe2\x99\xa6 VP IT Operations Leader',b'tps://www.linkedin.com/in/robertbeverick'
25,b'Michael Caral',b'',b'',"b'Field CTO at RoundTower Technologies, Inc.'",b'tps://www.linkedin.com/in/michael-caral-459256'
26,b'Edward Heltzel',b'Co-Founder - CTO',b'Portside LTD',b'Co-Founder and CTO at Portside LTD',b'tps://www.linkedin.com/in/edheltzel'
27,b'Matt Liszewski',b'CTO',b'CompanionLabs',"b'CTO & Co-Founder, CompanionLabs'",b'tps://www.linkedin.com/in/matt-liszewski-787b0b7'
28,b'Larry Brown',b'',b'',b'CTO at InfoGrow',b'tps://www.linkedin.com/in/larry-brown-50925818'
29,b'Robert Baskette',b'Founder / CTO',b'Roundtable Online Learning',b'Founder / CTO @ Roundtable Online Learning',b'tps://www.linkedin.com/in/robert-baskette-1630939'
30,b'Tom Daft',b'CTO',b'SoftArt LLC',b'Owner/President/CTO SoftArt LLC',b'tps://www.linkedin.com/in/tom-daft-4b3aa29'
31,b'Carl Lewis',"b'CTO, co-founder'",b'StreamSavvy',b'CIO at Vest',b'tps://www.linkedin.com/in/carl-lewis-b868455'
32,"b'Adam Winter, PMP'",b'CTO',"b'Clarus Solutions, LLC'",b'Management and IT Consultant',b'tps://www.linkedin.com/in/adamwinter'
33,b'Sam Hassouna',b'Managing Director & CTO',b'Sigma Technology (Startup)',b'Chief Technology Officer',b'tps://www.linkedin.com/in/samhassouna'
34,b'Kevin Hiser',b'CTO',b'Per Diem Plus',"b'Startup ""Swiss Army Knife"" helping launch and grow over 50+ startups.'",b'tps://www.linkedin.com/in/khiser'
35,b'Tom Carpenter',b'',b'',b'CTO at CWNP',b'tps://www.linkedin.com/in/wifitom'
36,b'Doug Yoder',b'CTO',b'Wastebits',b'CTO',b'tps://www.linkedin.com/in/douglasryoder'
37,b'William Henry',b'CTO',b'iQventures',b'CTO',b'tps://www.linkedin.com/in/william-henry-13843a32'
38,b'Joshua Talbott',b'',b'',b'CTO at Vuemesh LLC',b'tps://www.linkedin.com/in/joshtalbott'
39,b'Abram Cookson',b'CTO / Co-Founder',"b'MedPAC Technologies, Inc.'",b'Servant Leader at Fuse Dublin / Fuse Des Moines',b'tps://www.linkedin.com/in/abramcookson'
40,b'Jonathan Viet Q. Pho',b'Co-Founder and CTO',"b'Ecosystems of Innovation, LLC'","b'Ecosystems of Innovation. Capital Investment, Project Management and Innovation Leadership'",b'tps://www.linkedin.com/in/jonathanvqpho'
41,b'John Lurtz',b'CTO & Partner',b'Moreland Partners',b'Strategic Account Executive at Software AG',b'tps://www.linkedin.com/in/john-lurtz-3ba5267'
42,b'Samuel Antoun',"b'CTO & NA Practice Leader - Cognitive Process Transformation, IBM Global Business Services'",b'IBM',b'CTO - Cognitive Process Transformation',b'tps://www.linkedin.com/in/samantoun'
43,b'Chris Sullivan',b'',b'',b'CTO at Asurint',b'tps://www.linkedin.com/in/csullivan8'
44,b'Jared Fleener',b'',b'',b'CTO & Co-Founder at Carely',b'tps://www.linkedin.com/in/jaredfleener'
45,b'Mark Deek',b'',b'',b'CTO at Megalotech',b'tps://www.linkedin.com/in/mark-deek-a4aa5b10'
46,b'Jason Grim',b'CTO & Partner',b'Stridesapp.com',b'Senior Software Developer - Magento',b'tps://www.linkedin.com/in/jasongrim'
47,b'Barret Blake',b'Chief Technical Officer (CTO)',b'Capture Education',b'Chief Technical Officer',b'tps://www.linkedin.com/in/barretblake'
48,b'Brendan Gualdoni',b'Co-Founder/CTO',b'FrontBurnr',"b'Director of Engineering, eCommerce at EXPRESS'",b'tps://www.linkedin.com/in/brendangualdoni'
49,b'Sam Rizk',b'Co-Founder / CTO / Executive Consultant',b'Sureal Music',b'Chief Executive Officer / Founder at International Knowledge League',b'tps://www.linkedin.com/in/sam-rizk-78371816'
50,b'Forest Kunecke',"b'Co-Founder, CTO'",b'Resintell Technologies',b'Always learning',b'tps://www.linkedin.com/in/forest-kunecke-101b6352'
51,b'William Diederich',"b'Founder, CIO CTO CISO'",b'CIO for You - CISO for You',"b'Technology Visionary, Security Expert, C-level Executive'",b'tps://www.linkedin.com/in/williamdiederich'
52,b'Rukmangadhar (Ruk) Neelam',"b'Architect, Office of Enterprise Applications CTO'",b'Nationwide Insurance',b'Enterprise Architect at Nationwide Insurance',b'tps://www.linkedin.com/in/ruk-neelam-scpm'
53,"b'Joseph Gregorio, CGEIT, PMP, MBA, CSM'",b'Director of Business Continuity and Technology Governance (reporting to CTO)',b'Chemical Abstracts Services',b'Director of Business Continuity/Resiliency and IT Governance at Chemical Abstracts Services',b'tps://www.linkedin.com/in/jmgregorio01'
54,b'Patrick Sullivan',b'CTO',"b'HYBRIDMEDIA, LLC'","b'Leading the discovery, design & delivery of user-centered products and services at Wastebits'",b'tps://www.linkedin.com/in/patrick-sullivan-5a15108'
55,b'Jeff Kish',b'CTO',b'DSD Professional Development',b'IT Specialist at DSDPD',b'tps://www.linkedin.com/in/jeff-kish-8154795'
56,b'Victoria Loewengart',b'CTO',b'Analytics Inside',b'COO at Analytics Inside',b'tps://www.linkedin.com/in/vloewengart'
