,name,position,company,description,linkedin_url
0,"Arshya Vahabzadeh, M.D.",Chief Medical Officer,Brain Power LLC,"Chief Medical Officer @ Brain Power _Ÿ‘¨â€çâ_•ï¸è_Ÿè¥ Physician & Faculty, Harvard Medical School _Ÿè« Digital & Augmented Reality Mental Health Research _Ÿ˜__Ÿ“__Ÿ‘¨â€ç_Ÿ”¬",https://www.linkedin.com/in/arshyav/
1,"Michael V. Genovese, MD, JD",Chief Medical Advisor Recovery Division,Acadia Healthcare,Chief Medical Advisor Acadia Healthcare Recovery Division,https://www.linkedin.com/in/michael28/
2,"Richard Loomis, MD",Chief Medical Officer,Practice Fusion,Chief Medical Officer,https://www.linkedin.com/in/loomismd/
3,"Stacy Richardson, PhD LPC LMFT ICADC LGBC",,,Chief Officer for Outpatient Programs at Momentum for Mental Health,https://www.linkedin.com/in/stacy-richardson/
4,Dick Daniels,,,"Executive Vice President, Chief Information Officer at Kaiser Permanente",https://www.linkedin.com/in/dick-daniels-37806615/
5,Rich Roth,Chief Strategic Innovation Officer,Dignity Health,Chief Strategic Innovation Officer | Dignity Health,https://www.linkedin.com/in/rich-roth-0258b48/
6,"Deanna Wise, PMP",EVP & Chief Information Officer,Dignity Health formerly known as Catholic Healthcare West,EVP & Chief Information Officer at Dignity Health formerly Catholic Healthcare West,https://www.linkedin.com/in/deanna-wise-pmp-a416154/
7,Arra G. Yerganian,,,Chief Marketing & Branding Officer at Sutter Health,https://www.linkedin.com/in/arra-g-yerganian-2b444b5/
8,Ije-Enu Udeze Nwosu,"Chief of Staff, Office of the CEO/ Executive Director, Infrastructure and Management",Kaiser Permanente,"Chief of Staff, Office of the CEO / Executive Director, Infrastructure and Management at Kaiser Permanente",https://www.linkedin.com/in/udeze/
9,Michael Collins,Chief Clinical Officer / Chief Nursing Officer,Vibra Hospital,"Chief Clinical Officer/Chief Nursing Officer, Certified JMT Leadership Coach and Speaker, Board Member",https://www.linkedin.com/in/michaelcollins17/
10,Deborah Kilpatrick,Chief Executive Officer and Director,Evidation Health,Chief Executive Officer at Evidation Health,https://www.linkedin.com/in/deborahlkilpatrick/
11,R Andrew Eckert,,,Chief Executive Officer at Acelity,https://www.linkedin.com/in/r-andrew-eckert-b3845523/
12,Ken Tarkoff,,,Chief Executive Officer at Syapse,https://www.linkedin.com/in/ken-tarkoff-14b2253/
13,Bevey Miner,Chief Marketing Officer,Practice Fusion,"Chief Marketing Officer, Practice Fusion",https://www.linkedin.com/in/bevey-miner-7074688/
14,Sumbul Ahmad Desai,"Vice Chair, Strategy and Innovation & Chief, Stanford Center for Digital Health",Stanford University School of Medicine,"Vice Chair, Department of Medicine and Chief Digital Officer, Stanford Center for Digital Health",https://www.linkedin.com/in/sumbul-ahmad-desai-5b1663/
15,"Dale E. Beatty, DNP, RN, NEA-BC",Stanford Health Care Chief Nursing Officer / Vice President,Stanford Health Care,Stanford Health Care Chief Nursing Officer - Doctor of Nursing Practice,https://www.linkedin.com/in/dale-e-beatty-dnp-rn-nea-bc-6667718/
16,Megan Callahan,,,Chief Strategy Officer at Change Healthcare,https://www.linkedin.com/in/meganacallahan/
17,Michelle Snyder,"SVP, Chief Marketing Officer","Welltok, Inc.",Chief Marketing Officer at Welltok,https://www.linkedin.com/in/michelle-snyder-ba5893/
18,Todd Johnson,,,"Chief Executive Officer at HealthLoop, Inc.",https://www.linkedin.com/in/toddjohnson10/
19,"Jeanie M Larson, CISSP-ISSMP, CISM, CRISC",Chief Information Security Officer,UC Davis Medical Center,Chief Information Security Officer UCDMC,https://www.linkedin.com/in/jeaniemlarson/
21,Gary Robinson,,,Executive Vice President and Chief Marketing Officer at HealthEquity,https://www.linkedin.com/in/gary-robinson-1702a65/
22,Kouki Harasaki,,,Chief Operating Officer at Medal,https://www.linkedin.com/in/kharasaki/
23,Paul Tang,,,"Vice President, Chief Health Transformation Officer at IBM Watson Health",https://www.linkedin.com/in/paultang/
24,Daniella Perlroth,,,Chief Strategy Officer at Lyra Health,https://www.linkedin.com/in/daniella-perlroth-4b071452/
