,name,position,company,description,linkedin_url
0,Dick Daniels,,,"Executive Vice President, Chief Information Officer at Kaiser Permanente",https://www.linkedin.com/in/dick-daniels-37806615/
1,Amir Dan Rubin,Executive Vice President & Divisional CEO,Optum / UnitedHealth Group,Executive Vice President & Division CEO at Optum / UnitedHealth Group,https://www.linkedin.com/in/amirdanrubin/
2,Rich Smith,,,"Vice President, Human Resources Strategy & Management at Kaiser Permanente",https://www.linkedin.com/in/rich-smith-9a815a1/
3,Vivian Tan,,,Vice President - Strategic Information Management & Global Relationships at Kaiser Permanente,https://www.linkedin.com/in/vivian-tan-284b094/
4,Cecilia Sun,,,"Vice President, Digital Customer Experience and Innovation at Blue Shield of California",https://www.linkedin.com/in/cecilia-sun/
5,Wesley Rogers,Vice President Operations,Rockport Healthcare Services,Vice President Operations,https://www.linkedin.com/in/wesleyrogers/
6,Scott Matthews,,,"Vice President Business Development, Wellness at 23andMe",https://www.linkedin.com/in/scottmartinmatthews/
7,Anne Espiritu,,,"Vice President, Communications and Corp. Social Responsibility at Oscar Insurance",https://www.linkedin.com/in/anneespiritu/
8,Paul Tang,,,"Vice President, Chief Health Transformation Officer at IBM Watson Health",https://www.linkedin.com/in/paultang/
9,Raj Shekhar Singh,Vice President for Account Management,InnovAccer,"Vice President at Innovaccer, Ex McKinsey, UCB alumni, IIT alumni",https://www.linkedin.com/in/rajshekharsingh1/
10,Jorge Figueredo,,,Executive Vice President - Human Resources at McKesson,https://www.linkedin.com/in/jorge-figueredo-91004b6/
11,Barry Katz,Vice President of Corporate Development,Nobilis Health Corp.,"Vice President of Corporate Development at Nobilis Health Corp. NYSE: ""HLTH""",https://www.linkedin.com/in/barry-katz-56907131/
12,Todd Walthall,,,"Senior Vice President, Customer Experience at Blue Shield of California",https://www.linkedin.com/in/toddwalthall/
13,Pernille Bruun-Jensen,,,Vice President Digital Marketing at Sutter Health,https://www.linkedin.com/in/pernille-bruun-jensen-a86a893/
14,Gary Robinson,,,Executive Vice President and Chief Marketing Officer at HealthEquity,https://www.linkedin.com/in/gary-robinson-1702a65/
15,Ken Mudge,"Vice President, Strategic Sourcing",Kaiser Permanente / Kaiser Foundation Health Plan,"Vice President, Sourcing",https://www.linkedin.com/in/kenmudge/
16,Lisa Schilling RN MPH,Vice President Quality and Care Delivery Effectiveness I Healthcare Performance Improvement,Kaiser Permanente,"Vice President, Quality and Care Delivery Effectiveness I Healthcare Performance Improvement",https://www.linkedin.com/in/lisa-schilling-rn-mph-490527a/
17,Terry Wood,"Vice President, Real Estate",Kaiser Permanente,"Vice President, Global Real Estate",https://www.linkedin.com/in/terry-wood-4bb6252/
18,Kristin Russel,Vice President Marketing & Product Strategy,Humana,Vice President Marketing at Transcend Insights,https://www.linkedin.com/in/krussel/
19,Alvin Loving,,,"Vice President, IT Data Management Services at Blue Shield of California",https://www.linkedin.com/in/alvinloving/
