,name,position,company,description,linkedin_url
0,b'Jeff Penka',"b'Co-Founder, VP Product Management, The Library.Link Network (http://library.link)'",b'Zepheira',b'Vice President of Product Management',b'tps://www.linkedin.com/in/jeffpenka'
1,b'Tegan Rosenbaum',b'Vice President (VP) - Information Technology and Solutions',b'HM Health Solutions',b'Vice President - Information Technology and Solutions at HM Health Solutions',b'tps://www.linkedin.com/in/teganrosenbaum'
2,b'David Henderson',b'VP GSO Financial Institutions',b'Vantiv',b'Vice President Implementation Services at Vantiv',b'tps://www.linkedin.com/in/davidwhenderson'
3,b'Ron Ward',b'VP Application Development - Lead Business Analyst',b'JP Morgan Chase',b'Vice President',b'tps://www.linkedin.com/in/ron-ward-46570916'
4,"b'Bruce Burke, MBA, PMP, PgMP'",b'VP of Professional Development',b'Project Management Institute (Central Ohio Chapter)',b'VP for Public Company and VP of Professional Development - PMI Centrol Ohio Chapter',b'tps://www.linkedin.com/in/bruce-burke-mba-pmp-pgmp-6aa822'
5,b'Josh Harrison',b'',b'',b'Vice President at Improving Enterprises',b'tps://www.linkedin.com/in/joshrharrison'
6,b'Steve Mollmann',b'',b'',b'Vice President',b'tps://www.linkedin.com/in/steve-mollmann-54136b8'
7,b'Jeremy Leventhal',b'',b'',"b'Vice President, Product @ Springbuk'",b'tps://www.linkedin.com/in/jeremy-leventhal-45a4b14'
8,b'Chris Samp',b'',b'',b'Vice President of Engineering and Chief Architect at Shoptelligence',b'tps://www.linkedin.com/in/chrissamp'
9,b'Thad Leemaster',b'',b'',b'Vice President at HMB',b'tps://www.linkedin.com/in/pub122407'
10,b'Mark Krantz',b'',b'',"b'Executive Vice President, National Practice Services and Financial & Banking Services at ICC'",b'tps://www.linkedin.com/in/markkrantz'
11,b'Brian Wilson',b'',b'',b'Senior Vice President of Sales and Marketing',b'tps://www.linkedin.com/in/brianwilsonbw'
12,b'Rich Dimel Jr.',b'',b'',"b'Vice President, Technology & Operational Excellence at Network9, LLC'",b'tps://www.linkedin.com/in/rich-dimel-jr-85a5291'
13,b'Derrek Seif',b'',b'',b'Sr. Vice President of Product Strategy at irth Solutions',b'tps://www.linkedin.com/in/seifder'
14,b'Charles Wagner',b'',b'',b'System Vice President Information Systems OhioHealth',b'tps://www.linkedin.com/in/charlesvwagner'
15,b'Jerry Tsai',b'',b'',b'Vice President at Acceptd',b'tps://www.linkedin.com/in/jerry-tsai'
16,b'Pat Uehlein',b'',b'',b'Regional Vice President at MCPc',b'tps://www.linkedin.com/in/pat-uehlein-733b2'
17,b'Shane Boroff',b'',b'',"b'Vice President, Sales at Xcelerate Media'",b'tps://www.linkedin.com/in/shaneboroff'
18,b'Tarik Studebaker',b'',b'',"b'Vice President, IT at Abercrombie & Fitch'",b'tps://www.linkedin.com/in/tarik-studebaker-5a87258'
19,b'Alan Minton',b'',b'',b'Vice President Business Development at HMB',b'tps://www.linkedin.com/in/alanminton'
20,b'Scot Burdette',b'',b'',"b'Vice President, Global Product Management and R&D'",b'tps://www.linkedin.com/in/scotburdette'
21,b'Chip Snyder',b'',b'',"b'Vice President, Applications Developer Lead at Consumer & Community Banking'",b'tps://www.linkedin.com/in/chip-snyder-9a542956'
22,b'Aaron Stemen',b'',b'',"b'Vice President, Global Technology at JPMorgan Chase'",b'tps://www.linkedin.com/in/aaron-stemen-a580a31'
